StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_1,Q6,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15_1,Q16,Q17,Q18_1,Q19,Q20,Q22,Q23,Q26,Q27,Q28,Q29,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_5_TEXT,Q33,Q34,Q36_1,Q36_2,Q36_3,Q36_4,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q39,Q40,Q41,Q42,Q44,Q45,Q46_3,Q46_4,Q47
2019-01-11 20:29:39,2019-01-11 20:36:25,IP Address,65.112.8.138,100,406,True,2019-01-11 20:36:26,R_2DYTGunU2OWxBXO,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Degree-Program Student,School Team,Completely Satisfied,,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,"This allowed me to articulate the dilemma and acquire new perspectives and solutions on our dilemma. ",I wonder if this protocol could be introduced earlier in the week- maybe after Step 3. This would allow us to incorporate the different perspectives into our thinking with enough time to adjust based on this new information.,Moderately Satisfied,,,Somewhat Agree,Somewhat Agree,Excellent,Quite A Bit,Quite A Bit,8,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Lectures from Faculty,,Working with your Project Team,Learning with Practitioners,,,Completely Satisfied,,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Moderately Satisfied,,No,,January - March,No,,,
2019-01-11 20:29:31,2019-01-11 20:37:16,IP Address,67.134.206.46,100,464,True,2019-01-11 20:37:16,R_1FacdTPx4zo05Lk,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,"Accomplished our objectives! ","Just a little going back to school stress; nothing to change. ",See above,Moderately Satisfied,Moderately Satisfied,"Really nice to hear people's thoughts from actual schools (thanks, Andi, Ben, etc!)",I would have loved to sit in school teams all day! Esp on last day.,Moderately Satisfied,Moderately Satisfied,Being conscious about trying to focus on most high leverage things only! Continually incorporating feedback; thank you!,"Nothing, I don't think",Moderately Satisfied,"Loved getting feedback from others! It opened my brain! ","More processing time after each step. ",Moderately Satisfied,Having Q&A generally was good,"It was too short to really get meaningful questions heard. I wonder if we should have submitted questions ahead of time and had the teaching team choose most frequent questions to answer, etc. ",Neutral,Somewhat Agree,Very Good,Moderately,Quite A Bit,7,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Lectures from Faculty,,Working with your Project Team,,,,Completely Satisfied,,Neutral,Neutral,Completely satisfied,Moderately satisfied,,Moderately Dissatisfied,Completely Satisfied,Completely Satisfied,Moderately Satisfied,Moderately Satisfied,Completely Satisfied,,No,,January - March,No,,,
2019-01-11 20:34:26,2019-01-11 20:38:46,IP Address,67.134.206.46,100,259,True,2019-01-11 20:38:46,R_1DOpm67wiBiI1M7,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,System Team,Completely Satisfied,,More time with the other district team. We did not really talk with them at all until the very end of the day.,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,my table asked great questions,Would have liked some context (what was Istep) and to see the rubric.,Moderately Satisfied,Super helpful suggestions from other team,More time talking with the other district!,Completely Satisfied,,,Strongly Agree,Somewhat Agree,Excellent,A Great Deal,A Great Deal,10    (Extremely Likely),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Lectures from Faculty,Case Discussions,Working with your Project Team,Learning with Practitioners,,,Completely Satisfied,,Moderately satisfied,Completely satisfied,Completely satisfied,Moderately satisfied,,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Moderately Satisfied,"It was really cold! ",,,April - June,No,,,
2019-01-11 20:34:12,2019-01-11 20:38:52,IP Address,65.112.10.140,100,279,True,2019-01-11 20:38:53,R_2dziabXNdVADIcR,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Degree-Program Student,School Team,Completely Satisfied,"There were no explicit meeting objectives provided, so we were able to structure the agenda in an order that worked best for us",,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,"I enjoyed using this specific protocol to discuss, and I enjoyed having the opportunity to meet with my group afterwards.",,Completely Satisfied,,,Somewhat Agree,Somewhat Agree,Excellent,A Great Deal,Quite A Bit,8,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Lectures from Faculty,Case Discussions,Working with your Project Team,Learning with Practitioners,,,Moderately Satisfied,,Completely satisfied,Completely satisfied,Moderately satisfied,Moderately satisfied,,Moderately Satisfied,Completely Satisfied,Completely Satisfied,Moderately Satisfied,Completely Satisfied,Moderately Satisfied,,No,,July - September,No,,,
2019-01-11 20:29:40,2019-01-11 20:38:54,IP Address,65.112.8.140,100,553,True,2019-01-11 20:38:54,R_RxhYdlXl3j2ozYd,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Degree-Program Student,School Team,Completely Satisfied,Working with my team this whole week helped me recommit to the value of collaboration!,Nothing!,,Completely Satisfied,Completely Satisfied,,,,Completely Satisfied,,,Completely Satisfied,"Wow! What a powerful way to get new ideas and push my thinking. I so appreciate the thinking of my group and their vulnerabilities. ",I wish that there had been an additional consultancy protocol earlier in the week. Right now it feels like it happened too late in the week to really have time to change the slides.,Completely Satisfied,I am really thankful for the time added for Q&A.,Adding in strategic Q&A sessions/opportunities throughout the week.,Strongly Agree,Strongly Agree,Excellent,A Great Deal,Quite A Bit,9,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Lectures from Faculty,Case Discussions,Working with your Project Team,Learning with Practitioners,,,Moderately Satisfied,,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,The amount of work and organization that went into the physical space was really spectacular. Thank you!,No,,January - March,No,,,
2019-01-11 20:33:13,2019-01-11 20:39:12,IP Address,67.134.206.40,100,359,True,2019-01-11 20:39:13,R_2DS8G8vitiBHHaX,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,Time to work!,,,,,,,Moderately Satisfied,Moderately Satisfied,,"I like that you share REAL teams' materials, but would appreciate models as well.",Neutral,Liked learning about the challenges of others and having time with my team to bring back all that we learned. Also helpful to break out to do it so we each get different perspectives!,,Completely Satisfied,,No questions at this time.,Neutral,Neutral,Very Good,A Great Deal,A Great Deal,8,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Lectures from Faculty,Case Discussions,Working with your Project Team,Learning with Practitioners,,,Completely Satisfied,,Moderately dissatisfied,Completely satisfied,Completely satisfied,Moderately satisfied,It was so challenging to set up my registration. Please figure out how to make sure it doesn't get caught in Spam filters - it took 5 tries to get myself set-up!,Moderately Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,,Yes,,April - June,No,,,
2019-01-11 20:32:52,2019-01-11 20:39:32,IP Address,67.134.206.40,100,399,True,2019-01-11 20:39:33,R_20TH8forG3UPSjf,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,A lot was done during our meeting and feel confident with starting the Data Wise Process with our other team members.,The time allotment given for our planning.,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,"I liked that we got to see the end results of the Northhaven School Case, it gave us a glimpse of what a completed process looked like and also what would be needed for planning the following year.",,Completely Satisfied,"I was nervous about working with different team members but once I did the process,  it was not as intimidating. I enjoyed listening to different perspectives and feedback relating to our Dilemma and question.",,Completely Satisfied,,,Strongly Agree,Strongly Agree,Excellent,A Great Deal,A Great Deal,10    (Extremely Likely),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Lectures from Faculty,Case Discussions,Working with your Project Team,Learning with Practitioners,,,Completely Satisfied,,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,,No,,January - March,No,,,
2019-01-11 20:34:43,2019-01-11 20:39:53,IP Address,65.112.8.134,100,309,True,2019-01-11 20:39:54,R_Oyg7M9R9QclVd2F,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Degree-Program Student,School Team,Completely Satisfied,"We worked hard to finish the work.
Rafael was a great help!",More time with the TF.,See above.,Completely Satisfied,Completely Satisfied,Re-focused the group.,N/A,Completely Satisfied,Moderately Satisfied,Looking at the complete swoosh.,More time spent on trouble shooting tips.,Moderately Satisfied,"A great new protocol!
Very applicable to other settings.
Cathartic release.",More time to process.,Completely Satisfied,Great insight from those who have worked with Data Wise in the field.,More time to delve deeper into lived experiences.,Strongly Agree,Strongly Agree,Very Good,Quite A Bit,Quite A Bit,9,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Lectures from Faculty,Case Discussions,Working with your Project Team,Learning with Practitioners,,,Completely Satisfied,,Moderately satisfied,Completely satisfied,Completely satisfied,Completely satisfied,,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,,No,,January - March,No,,,
2019-01-11 20:33:55,2019-01-11 20:40:30,IP Address,65.112.8.137,100,395,True,2019-01-11 20:40:30,R_rrJobvKoWqWhTln,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Degree-Program Student,School Team,Completely Satisfied,We are SO close to finished and it feels great!,,,Neutral,Neutral,,,Completely Satisfied,Moderately Satisfied,I appreciated the teacher video and glimpse at the data,It felt fast! I would have liked an overview (and motivational push) of success stories from other schools. Schools that did this with fidelity over time have seen results such as...,Neutral,It was really nice to get to know some more people in the room. I appreciated the mix (at least in my group) of having a practitioner.,We all came with different types of problems dilemmas. Some were very specific and others not. Wonder if we could get mroe clarity on that.,Completely Satisfied,,,Somewhat Agree,Somewhat Agree,Very Good,Quite A Bit,Moderately,7,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,Case Discussions,Working with your Project Team,Learning with Practitioners,,,Completely Satisfied,,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,There was a LOT of prework and the data wise book felt very similar to the mooc. Any reason why it couldn't be a suggested resource but not required?,Completely Satisfied,Neutral,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,,No,,April - June,No,,,
2019-01-11 20:35:16,2019-01-11 20:40:43,IP Address,67.134.206.44,100,327,True,2019-01-11 20:40:43,R_9WzdFvl5iZIQwCJ,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,Clarifying with team.,More team time.,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,I liked the opportunity to share my problem of practice with others and to get their input.,More time to reflect after each round.,Completely Satisfied,Going back to the team to share feedback and clarify.,,Somewhat Agree,Strongly Agree,Very Good,A Great Deal,Moderately,9,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,Case Discussions,Working with your Project Team,,,,Completely Satisfied,,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,,No,,January - March,No,,,
