StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_1,Q5_2,Q6,Q7,Q8_1,Q8_2,Q9,Q10,Q11_1,Q12,Q13,Q14_1,Q15,Q16,Q17,Q18_1,Q18_2,Q19,Q20,Q21_1,Q21_2,Q22,Q23,Q24_1,Q25,Q26,Q27_1,Q27_2,Q28,Q29,Q31,Q32,Q33,Q34
2019-01-22 05:40:18,2019-01-22 05:55:49,IP Address,202.45.119.143,100,931,True,2019-01-22 05:55:50,R_2BrF6oJbxrjwyWD,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",NA,NA,"Completely
Satisfied","Completely
Satisfied",The visuals of the graphs and building the narrative.,NA,"Completely
Satisfied",Time with the team to discuss school based data.,NA,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",NA,NA,,,,,"Completely
Satisfied",NA,NA,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:54:26,2019-01-22 05:56:01,IP Address,202.45.119.143,100,95,True,2019-01-22 05:56:02,R_1IB4Pz6Swxou1ns,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",Great looking at a school example,,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied",,,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:52:32,2019-01-22 05:56:09,IP Address,60.241.29.66,100,216,True,2019-01-22 05:56:09,R_sClUqNEjWQtWSJz,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied",,,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:55:38,2019-01-22 05:56:55,IP Address,202.45.119.143,100,76,True,2019-01-22 05:56:55,R_3oKQ2td1eXNFbuF,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,,,,,,,,,,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,,
2019-01-22 05:50:57,2019-01-22 05:58:18,IP Address,202.45.119.143,100,441,True,2019-01-22 05:58:19,R_8CYH9vLtu84eqd3,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",Addressing the feedback from the previous session,,Neutral,Neutral,,,"Completely
Satisfied","Time to look and work through data with the time ",,,,,,,,,,,,,,,"Create a Data Overview- afternoon session 
looking at data with the team 
The assessment hunt 
","More time to work on the assessment ",,,,,,,,
2019-01-22 05:39:26,2019-01-22 05:59:38,IP Address,202.45.119.143,100,1212,True,2019-01-22 05:59:39,R_wYkSv7xrp0wHIGt,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","'-difference between adaptive and technical challenges was informative ",,"Completely
Satisfied","Completely
Satisfied","'-differentiate between data overview and data overview meeting
-clarity around data overview creation ",,"Completely
Satisfied","'-another opportunity to run a data overview meeting and use norms
-direction and clarity within school team around our data sources and possible overarching questions",nothing,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied","'-reading the data and discussing this with a partner
-liked my own think time","'-more time to individually make sense of multiple data sources (ran out of time) ",,,,,"Completely
Satisfied","'-used norms well
-great prompts and directing from TF",,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:58:30,2019-01-22 06:00:30,IP Address,60.241.29.66,100,120,True,2019-01-22 06:00:31,R_2qf7GDWBhxsZq5J,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",Rich data discussions,,,,,,"Completely
Satisfied",,,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:54:56,2019-01-22 06:03:06,IP Address,202.45.119.143,100,490,True,2019-01-22 06:03:06,R_3oSelrv4SK0OLTm,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","Making connections... tying it all together...acknowledging the process we went through. ","Please consider slowing down just a bit with the slides. This is new language and concepts for us to process; also are slides available? I noticed we are not permitted to photograph DW materials however to keep up with the pace I found myself grabbing for my phone. ","Completely
Satisfied","Completely
Satisfied","It was great to unpack dense language and make it comprehensible by ensuring we had time to talk with each other and work with the concepts at hand. *** I really don't recall using the Question Formulation Technique and Nominal Group Technique. ","I really don't recall using the Question Formulation Technique and Nominal Group Technique. ","Completely
Satisfied",We got to discuss and apply although still a bit sketchy...,,,,,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",Practical...,Practical...,,"I don't think this is what we discussed. ",????? Not applicable,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:54:09,2019-01-23 05:40:48,IP Address,202.45.119.143,100,85599,True,2019-01-23 05:40:49,R_1gLt4VXi1yD6Boa,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,,,,,,,,,,,,,,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,"Moderately
Satisfied",,,,,,,Neutral,Somewhat Agree,,
2019-01-23 05:42:27,2019-01-23 05:44:12,IP Address,202.45.119.143,100,105,True,2019-01-23 05:44:12,R_oYPMiCNBdVnZeRH,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied",,,,,,,Strongly Agree,Strongly Agree,,
2019-01-23 05:40:49,2019-01-23 05:44:45,IP Address,202.45.119.143,100,236,True,2019-01-23 05:44:45,R_AO2LBSsmWx5fzrj,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,System Team,"Moderately
Satisfied","Completely
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,"Moderately
Satisfied",,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,Strongly Agree,Somewhat Agree,,
2019-01-23 05:38:00,2019-01-23 05:45:10,IP Address,60.241.29.66,100,429,True,2019-01-23 05:45:10,R_3nOfhvKigDWwYgu,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,"Calling for volunteers to speak instead of nominating 

","Completely
Satisfied",Agenda flowed well with allocated times. Easy to adhere to.,,,,,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied","Working with group at a circular table
Use of two different data sources being looked at by different group members",More clarity around instructions,"Completely
Satisfied",Time allocation for reflections allowed good discussions - didn't feel rushed,,,,,,Strongly Agree,Strongly Agree,,
2019-01-23 05:42:27,2019-01-23 05:45:42,IP Address,202.45.119.143,100,194,True,2019-01-23 05:45:42,R_3QE6Kev80QFG3ka,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",The enthusiasm from the presenters helped us through the initial stages of hump day,,"Completely
Satisfied","Completely
Satisfied","Both presenters are very genuine and are engaging to listen to ",,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",It was great to work with different people in our blue teams,An Australian context and work samples,,,,,"Completely
Satisfied",,,,,,,Strongly Agree,Strongly Agree,,
2019-01-23 05:42:40,2019-01-23 05:46:04,IP Address,202.45.119.143,100,204,True,2019-01-23 05:46:05,R_2SGrFde9e5jhxqF,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied",,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied",,,,,,,Strongly Agree,Strongly Agree,,
2019-01-23 05:40:46,2019-01-23 05:46:21,IP Address,202.45.119.143,100,335,True,2019-01-23 05:46:21,R_3JKjan2T0G2GXOr,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,System Team,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,"Completely
Satisfied",,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,An example of a Learning Centred Problem may have provided a frame for our team,,,,,,,,"Completely
Satisfied","Completely
Satisfied",Great to have additional time on our work,,Strongly Agree,Strongly Agree,,
2019-01-23 05:42:37,2019-01-23 05:49:04,IP Address,60.241.29.66,100,387,True,2019-01-23 05:49:04,R_9t7uUthVdL4haM1,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","David was very clear with his description of team roles ",,"Completely
Satisfied","Completely
Satisfied","Windermere were very brave to share their data and the examples of how to use data with staff. ",,"Completely
Satisfied","We identified good data sources 
",,,,,,,,,,,,,,"Completely
Satisfied","We worked effectively as a team ",,,,,,Strongly Agree,Strongly Agree,"Resources ",
2019-01-23 05:43:47,2019-01-23 05:49:37,IP Address,202.45.119.143,100,349,True,2019-01-23 05:49:37,R_1mjS4M7h5mOHtXE,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",Brought clarity to the process.,,,,,,,,Elementary Case,"Completely
Satisfied","Moderately
Satisfied",,,,,,,"Completely
Satisfied",Continued to develop the presentation and refine and improve.,,,,,,Somewhat Agree,Somewhat Agree,Come with an inquiry mindset rather than a compliance and accountability attitude. Develop a contextual and deep understanding around the school and its learning performance.,
2019-01-23 05:45:09,2019-01-23 05:49:38,IP Address,202.45.119.143,100,268,True,2019-01-23 05:49:38,R_ah3c6IpWobay7S1,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",Motivating way to begin the day. Could see the value in bringing this back to my own team at school,,"Completely
Satisfied","Completely
Satisfied",,More scaffolding around the development of the question.,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied","It was good to work with a model and hear from peers we don't work with. ",,,,,,"Completely
Satisfied",Force Field Analysis was great to be able to clarify and come to a common understanding around what is happening in our own setting.,,,,,,Somewhat Agree,Somewhat Agree,Not limit teaching to accountability with data sets. We need to have a relentless pursuit to improve and celebrate the amazing work carried out by teachers - the 'system' does not always acknowledge this.,
2019-01-22 05:55:13,2019-01-23 05:50:17,IP Address,60.241.29.66,100,86104,True,2019-01-23 05:50:17,R_3nrvFYhOhCU2irL,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Moderately
Satisfied","Moderately
Satisfied",I liked that the pluses and deltas were used to modify the content of this session,The AC is the theater continues to be too high and the temperature is uncomfortably hot.,Neutral,Neutral,We did not work on this session today,We did not work on this session,"Moderately
Satisfied",,,,,,High School Case,,,,,"Moderately
Satisfied","Moderately
Satisfied","The material was engaging, the instructions were clear and the presenter was very motivating","I would have liked to have the instructions for the activity printed and on the table. I was at a table that could not clearly see the instructions on the screen because of other participants and the design of the room. ","Moderately
Satisfied",,,,,,,Completely Disagree,Somewhat Disagree,,
2019-01-23 05:42:37,2019-01-23 05:50:41,IP Address,202.45.119.143,100,483,True,2019-01-23 05:50:41,R_2dW3fC1oH0fWLuO,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,System Team,"Completely
Satisfied","Completely
Satisfied",the listening activity tuned us in well and reinforced the importance of giving time and the benefit this has,,"Completely
Satisfied","Completely
Satisfied",outstanding session,,,,,"Completely
Satisfied",,,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",The opportunity to hear other perspectives and thinking,it was challenging to work through the example with limited data and not a lot of content knowledge. The student survey didn't provide a lot of feedback to help frame the learner centred problem.,,,,"Completely
Satisfied","Completely
Satisfied",The opportunity to catch up on aspects we didn't get through earlier in the day.,,Strongly Agree,Strongly Agree,,the importance of being specific with data
2019-01-22 05:51:50,2019-01-23 05:51:14,IP Address,60.241.29.66,100,86363,True,2019-01-23 05:51:14,R_6Fh4imcrcYVSSM9,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",Good to review yesterday's learning and adjusting plans to accommodate to our needs as we go!,N/A,"Completely
Satisfied","Completely
Satisfied","Jorge was very knowledgeable in this area and as said by other presenters, he made a sometimes 'dry' topic very enjoyable. The Windermere example was hugely beneficial to our team in achieving so much work today.",N/A,"Completely
Satisfied",Hugely beneficial having access to the Windermere example to model our presentation.,N/A,,,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",Real life examples to look at.,"Groups were too big. Not enough time to allow all voices to be heard. ",,,,,"Completely
Satisfied",TFs were understanding of our needs and adjusted their plans to allow us time to be successful in our workings.,N/A,,,,,Somewhat Agree,Strongly Agree,,
2019-01-22 05:53:40,2019-01-23 05:51:22,IP Address,202.45.119.143,100,86262,True,2019-01-23 05:51:23,R_yPy1CWFe6czRnDb,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","We all worked in our green group really well. Listening and taking turns. Now with the data we are more purposeful and motivated. ","We put norms on the table.
We had a different facilitator","Completely
Satisfied","Completely
Satisfied","the presenter kept our attention
great activities
",,"Completely
Satisfied","we stayed on task and were motivated
love the rolling agenda
",,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied","blue team was interested
great to see some kids worksamples 
all the datawise staff were up and moving around the room and spurring ion our questioning",,,,,,"Completely
Satisfied",we actually used the extra time to finish our data overview slide,,,,,,Strongly Agree,Strongly Agree,,
2019-01-23 05:39:40,2019-01-23 05:51:57,IP Address,1.152.105.192,100,737,True,2019-01-23 05:51:57,R_2dA6wO7wGEGECbW,,,,,-37.716705322265625,145,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","Really enjoyed David as a presenter. 
Tuckman's stages were relevant and a terrific resource.",ideas around further resources to develop understanding of team cohesion.,"Moderately
Satisfied","Moderately
Satisfied",Opportunity to see how a big group could formulate questions and refine them.,"Some examples of meeting schedules to indicate a timeline of one to utilise this step in meetings. ",,Appreciated the time to work together.,an opportunity to obtain feedback from DW staff to guide how we are going.,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",Using real data to work through step 4.,"It was difficult to create a learner centred problem without more data. ",,,,,"Completely
Satisfied","Getting better at using agenda, time keeping etc. 

More evidence of team adhering to DW norms.","At times there is difference between the feedback with what facilitators provide us with. 

Michele is very engaging and offers a lot of expertise around implementing the DW way. ",,,,,Somewhat Agree,Somewhat Agree,"Continue to offer expertise to teams when they are developing their data overview rather than using a coaching approach. ",
2019-01-22 05:44:32,2019-01-23 05:52:06,IP Address,202.45.119.143,100,86854,True,2019-01-23 05:52:06,R_2BwJHrpWrK8BQLA,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","LOVED looking at the Plus and Delta from Monday- great strategy to take back to show teachers and students that their feedback is heard and valued ",Include Simon Sinek's video into the presentation,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",The support of the teaching fellows,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied",Getting into some great conversations,,,,,,Strongly Agree,Strongly Agree,,
2019-01-23 05:39:47,2019-01-23 05:52:22,IP Address,60.241.29.66,100,754,True,2019-01-23 05:52:22,R_6r427awZrutARdT,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",David was a legend this moring. Loved his presentation style and energy. 90sec check-in was spot on to start the day.,,"Completely
Satisfied","Completely
Satisfied","Jorge presentation really connected strongly with me, highly articulate man with a calm professional presentation style. Shared the message of ""Question Formulation Technique"" excellently.
Thank you",,"Completely
Satisfied",A strong focus this morning with productive work documented by the team.,,,,,High School Case,,,,,"Moderately
Satisfied","Moderately
Satisfied","Listening to others points of views. A greater level of comfortability developing amongst the group.

Michelle did a FANTASTIC job presenting this session.",The presenter could check in if the group have any questions prior to starting the tasks set due to the pace they are being delivered.,"Moderately
Satisfied",Productive session most of the time. Need to stop getting caught on technical issues and move on more effectively.,,,,,,Strongly Agree,Strongly Agree,Sometime we need more guidance and direction then a coaching approach to some of our sticking points.,
2019-01-22 05:54:53,2019-01-23 05:52:55,IP Address,202.45.119.143,100,86281,True,2019-01-23 05:52:55,R_2DYrpmbyaqWrRu2,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","Seeing another schools data and discussing to see a different perspective ","some work done altogether could have been done in break out spaces and still mix up participants but have more space ","Moderately
Satisfied","Moderately
Satisfied",,,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied","Working with Blue Group. ",,,,,,"Completely
Satisfied",,,,,,,Strongly Agree,Strongly Agree,,
