StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q4_2,Q5,Q6,Q7_1,Q7_2,Q8,Q9,Q10_1,Q11,Q12,Q13_1,Q13_2,Q14,Q15,Q16_1,Q18,Q17,Q20,Q21,Q30,Q31,Q32
2018-12-04 20:15:46,2018-12-04 20:17:29,IP Address,50.247.240.113,100,103,True,2018-12-04 20:17:29,R_tStmcOCSmYmcEjD,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"Team time to discuss ","Include action planning ",Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,,"E- Relentless focus on evidence! ",,"It was great to have a process observer, I wish she could have been our data wise coach! "
2018-12-04 20:15:33,2018-12-04 20:17:33,IP Address,107.77.225.19,100,119,True,2018-12-04 20:17:33,R_1FnbWjS32du8eNg,,,,,40.646697998046875,-73.957000732421875,anonymous,EN,Completely Satisfied,Completely Satisfied,Explaining the spiral review,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,Looking at student data,It was visually hard to follow the copies were very small,Completely Satisfied,,,Strongly Agree,,,,
2018-12-04 20:14:12,2018-12-04 20:17:38,IP Address,50.247.240.113,100,205,True,2018-12-04 20:17:38,R_2R51DOgmSrtBZmL,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,Resources; Examples,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,Collaborative approach,A little bit confusing,Completely Satisfied,Time to collaborate; Stretching of thinking,,Somewhat Agree,Confutation of through line,Adjustment,,
2018-12-04 20:14:36,2018-12-04 20:17:38,IP Address,50.247.240.113,100,181,True,2018-12-04 20:17:38,R_2VmfdEXUQVAsb64,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,Practicing listening without responding for a short period of time.,N/A,Completely Satisfied,Completely Satisfied,Looking at various charts and analyzing which would be most appropriate for our teams and needs.,N/A,Moderately Satisfied,Having group time to discuss practices.,N/A,Moderately Satisfied,Moderately Satisfied,Having time to work with others.,Need more practice coming up with the focus questions.,Completely Satisfied,Time working with leadership team to discuss and begin planning the role out.,Longer work time.,Strongly Agree,Prompting teachers for more in depth thinking.,C,A,N/A
2018-12-04 20:15:35,2018-12-04 20:17:43,IP Address,174.199.64.184,100,128,True,2018-12-04 20:17:44,R_xzug5ttKp75yQNj,,,,,41.824005126953125,-71.41280364990234375,anonymous,EN,Completely Satisfied,Completely Satisfied,Adaptive and technical challenges discussing,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,,Intentional collaboration,Commitment to assessment in Montessori setting,
2018-12-04 20:14:38,2018-12-04 20:17:46,IP Address,50.247.240.113,100,188,True,2018-12-04 20:17:47,R_22Ku49YtedgNGqo,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,Nothing,,,It was very interesting to look at the literacy data.,Nothing,,We made plans for our meetings in January.,Nothing,Strongly Agree,How do you find the story in the data?,Action,Evidence,
2018-12-04 20:14:41,2018-12-04 20:17:55,IP Address,50.247.240.113,100,194,True,2018-12-04 20:17:55,R_2eQm3gBfEz7P24S,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,Team Time and group collaboration,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,Excellent Work Samples,,Completely Satisfied,,More specific directions of what we were supposed to do. MAybe check in on groups to see if they need any support.,Strongly Agree,,,,
2018-12-04 20:15:07,2018-12-04 20:17:58,IP Address,50.247.240.113,100,170,True,2018-12-04 20:17:58,R_1IXWbphRKXaltkW,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,understanding adaptive and technical challenges and knowing how to overcome them,Nothing,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,good to have tine to discuss looking at data,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Neutral,,,,
2018-12-04 20:14:33,2018-12-04 20:18:00,IP Address,50.247.240.113,100,206,True,2018-12-04 20:18:00,R_cYNvZA7ALvFmIF3,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,"Seeing the data and allowing us to decifer what is needed and isn’t Also being “guided” into the right direction ",,Completely Satisfied,The messing around and working through the process,,Moderately Dissatisfied,Moderately Dissatisfied,,"I feel like this was a bit hectic.  Nothing at all to Donna! It just seems as though it was unpolished and not rally ready for the learns ",Neutral,Thank you to Matt for taking the time to pacify us and let us know that it will be ok!!!,,Neutral,"I’m feeling overwhelmed. Our team is just unclear as to what the district wants as their vision for the roll out and implementation ",,,
2018-12-04 20:14:32,2018-12-04 20:18:01,IP Address,50.247.240.113,100,208,True,2018-12-04 20:18:01,R_2YzEcRMjwSvPyE8,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,Informative,na,Neutral,Neutral,,,Moderately Satisfied,"Time to work through focus areas was beneficial to start off on the right foot ",tech difficulties were a challenge,Completely Satisfied,Completely Satisfied,real life opportities to review and collaborate on student work,na,Neutral,Team time,"more clarity and direction for teh ",Neutral,"The expectation from the district is still unclear and undetermined. ",A,,
2018-12-04 20:14:26,2018-12-04 20:18:07,IP Address,50.247.240.113,100,221,True,2018-12-04 20:18:07,R_1dFjqbKDEjwv8hb,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"It was helpful to build on our knowledge from yesterday’s session. ",,Completely Satisfied,Completely Satisfied,"Moving around, looking at data, working as a team, seeing other teams ideas ",,Completely Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,"I feel that I am leaving with a clear plan on what to do next at my school. Dr Pena sat with our group for this session which was extremely helpful. ",,Somewhat Agree,"Teacher buy in ",,,
2018-12-04 20:15:23,2018-12-04 20:18:09,IP Address,50.247.240.113,100,166,True,2018-12-04 20:18:09,R_2V2ZhfUCCUMuZGI,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"meaning of adaptive vs. technical ",,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,time well spent identifying the focus area,,Completely Satisfied,Completely Satisfied,I think i need more time digging into data,,Completely Satisfied,"necessary ",,Strongly Agree,,,,
2018-12-04 20:14:30,2018-12-04 20:18:19,IP Address,50.247.240.113,100,228,True,2018-12-04 20:18:19,R_3elfpbA48v2roC1,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"the explanation of adaptive and technical challenges ",,Completely Satisfied,Completely Satisfied,,"it was a little rushed, more time to talk and go through each step independently would be amazing ",Moderately Satisfied,planning with team,wish we were able to start looking at our own data specifically,Completely Satisfied,Moderately Satisfied,,"a tad bit confusing, unclear about the actual task ",Completely Satisfied,,more time (of course!),Somewhat Agree,step 2 implementation,"Act, assess and adjust ",focus on evidence,
2018-12-04 20:15:38,2018-12-04 20:18:24,IP Address,50.247.240.113,100,166,True,2018-12-04 20:18:24,R_sYWoYgnSwkJk4eZ,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"Great example of how we need to be good listeners ",,Completely Satisfied,Completely Satisfied,"I like how it was structured to give us whole group practice. ",,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,Again time to practice whole group.,,Completely Satisfied,"Great to have time to plan next steps. ",,Somewhat Agree,,,,
2018-12-04 20:14:24,2018-12-04 20:18:26,IP Address,50.247.240.113,100,241,True,2018-12-04 20:18:26,R_3HNO2ElwG1hu7Xv,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,"Review of the Spiral ",N/A,Moderately Satisfied,Moderately Satisfied,"Time with the team ","Our tables were not always clear on how to proceed in each of the session including the directions. ",Moderately Satisfied,"Working with the table and the teams ","We were not always clear on the directions. ",Moderately Satisfied,Moderately Satisfied,"Using real data to drive the learning. ",Continuing the process using our school data,Moderately Satisfied,"Planning and preparing and having time with our school teams. ","We had a technology breakdown. ",Strongly Agree,"Coaching on our plan thus far. ","Intentional Collaboration was a strength. ","Relentless Focus on Evidence will be a challenge as we begin to look through our F & P data and Grade level assessments.  Some of our team did not feel comfortable with the assessments we chose to look at. ","A recommendation would be to have a Data Wise person assigned to two tables to check in consistently and provide support. "
2018-12-04 20:14:11,2018-12-04 20:18:26,IP Address,50.247.240.113,100,254,True,2018-12-04 20:18:26,R_ZjEmP5Ktvjq8OOZ,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"Thank you for coming back to some of the things we talked about yesterday in terms of needing more clarity ",,Completely Satisfied,Moderately Dissatisfied,This is incredibly important to talk about,"My table struggled with data literacy in terms of even understanding the data in front of them, also thinking about how to mesh this with district goals ",Moderately Satisfied,"Agenda and the actual work was good ",Ran out of time so did not get to all the importance,Completely Satisfied,,"I think in order to get good at this work, it is something you have to practice---and this was good practice. ","Perhaps recognizing that the more you do this, the better you get at it.  ",Moderately Satisfied,"time to make it work for the specific school ","maybe a little feedback on plans--trying to do a lot when starting part way through the year, how to make good choices when it all seems super important ",Somewhat Agree,Feedback on plans/progress,Intentional collaboration,Focus on evidence,"Thank you! "
2018-12-04 20:15:09,2018-12-04 20:18:31,IP Address,50.247.240.113,100,201,True,2018-12-04 20:18:31,R_2rA5c0eDdl1tJbl,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"Provided resources for doing the work for collaborating ",It was too much to go off on our own and fill out our agenda and plan.  Step by step is better,Completely Satisfied,Completely Satisfied,Samples of displays,Notice and wonders on displays.  Asking those questions ourselves,Completely Satisfied,Collaboration time to discuss actions at the school level,"Samples of plans done (calendar) etc ",Completely Satisfied,Completely Satisfied,Analyzing data,Nothing at this time,Completely Satisfied,Collaboration,Nothing at this time,Strongly Agree,Evidence,Measurement of error,Measurement of error,Not at this time
2018-12-04 20:14:33,2018-12-04 20:18:31,IP Address,50.247.240.113,100,238,True,2018-12-04 20:18:31,R_3sjIt1DYi4Q3uRZ,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"I enjoyed all portions of this session. ","Nothing that i recall directly ",,,,,Completely Satisfied,Time to discuss areas and potential difficulties with data in the area of guided reading,more time,Moderately Satisfied,Moderately Satisfied,Important information was communicated and we could work with another school,"It was hard to follow the directions because we jumped quickly from one topic or activity component to another and it was hard to hear with the room noise. ",Completely Satisfied,Time with group to discuss how we are bringing this with different members including coaches admin and staff,nothing - more time (always) haha,Strongly Agree,How to present this without taking up too much of teachers' valuable time,C - intentional collaboration,A _ specifically adjustment because we can get distracted,
2018-12-04 20:14:53,2018-12-04 20:18:32,IP Address,50.247.240.113,100,219,True,2018-12-04 20:18:33,R_RPNflSrUef63dWV,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,Spiral Review,Learner Centered Problem-making it very clear how data leads to a learner centered problem,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,"Plenty of time to work with team and planning to implement Data Team ",,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Strongly Agree,,,,
2018-12-04 20:14:25,2018-12-04 20:18:36,IP Address,50.247.240.113,100,250,True,2018-12-04 20:18:36,R_2YYcnuSQ9kL8hLg,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,,,,Completely Satisfied,,"The opportunity to look at real data ",,Completely Satisfied,Looking at the data as a group and discuss our notices and wonders.,,Completely Satisfied,,Looking at actual students' work and using the protocol where everyone shares a notice and a wonder.,,Completely Satisfied,"Planning as a school team on how to deliver ",,Strongly Agree,,,,
2018-12-04 20:14:45,2018-12-04 20:18:36,IP Address,50.247.240.113,100,231,True,2018-12-04 20:18:37,R_338WUmAee3ixDgM,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,review and addressing possible issues,A person from Data Wise staff to walk us through the process and technology.,Completely Satisfied,Completely Satisfied,Visuals,,Completely Satisfied,Building data literacy,Need more practice,Moderately Satisfied,Moderately Satisfied,organization of student work,I would have like to have reading data since that is our focus.,Moderately Satisfied,,"I needed more direction and technology help.  The technology was complicated.  ",Strongly Agree,exemplar materials,Shared commitment to action,adjusting,
2018-12-04 20:14:29,2018-12-04 20:18:37,IP Address,50.247.240.113,100,247,True,2018-12-04 20:18:37,R_3NNVDv0uwMc64rC,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,"quiet space, time to work",having our own data,Completely Satisfied,Moderately Satisfied,time to work and talk as a whole table,directions were very unclear and given when half the room was still discussing previous tasks. unclear objectives,Completely Satisfied,having time to sit as a team and plan out upcoming meetings,more time,Strongly Agree,selecting appropriate data to look at,c- great collaboration with team members,e- having the appropriate evidence to make informed decisions,
2018-12-04 20:14:42,2018-12-04 20:18:42,IP Address,50.247.240.113,100,239,True,2018-12-04 20:18:42,R_33ebbgjsUZy1bHg,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,I enjoyed discussions around each of these sections especially adaptive challenges,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,the idea of following an agenda,"We had questions during that held us up from moving forward, but mostly the technology piece stopped us. ",Moderately Dissatisfied,Moderately Dissatisfied,time to talk with table,I think section was rushed and did not add to my learning much today. we looked at student work but really didnt break it down kind of just a surface explanation,Moderately Satisfied,,we had questions,Neutral,the roll out timeline,,,
2018-12-04 20:14:41,2018-12-04 20:18:42,IP Address,50.247.240.113,100,240,True,2018-12-04 20:18:42,R_2zzNpv1z9dlvXtn,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,Learned that everyone's voice is important and it matters,,Completely Satisfied,Completely Satisfied,"ssisted me in  interpreting  data ",Was va bit overwhelmed with too many data points and trying to triangulate it all,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Team all agreed on the weekly/monthly schedule for once,,Strongly Agree,,,,
2018-12-04 20:14:25,2018-12-04 20:18:42,IP Address,50.247.240.113,100,257,True,2018-12-04 20:18:43,R_3EY9PTPbLEyYl1s,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"Constrcutive dyads activity was useful and can learning about adaptive adn technical change helps when starting implementation at the school level so teams know what to do in certain situations. ",,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,"I enjoyed completing the student work protocol as this will be a tool used thorughout the data wise process to dig deeper into student outcomes without bias. ",Possibly having teams bring their own student work,Moderately Satisfied,"Giving teams the opportunity to plan together. ",,Somewhat Agree,"What are the non-neogtiables in terms of what needs to be implemented in steps 1-4. ","Relentless focus on evidence has been my focus and has also been a strength. ",,
2018-12-04 20:14:24,2018-12-04 20:18:44,IP Address,50.247.240.113,100,259,True,2018-12-04 20:18:44,R_qIKIWLt6csY4UKZ,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Completely Satisfied,"I really enjoyed the protocol ",,Neutral,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Somewhat Agree,Encouraging teacher buy in,Collaboration,Adjustment,
2018-12-04 20:14:53,2018-12-04 20:18:45,IP Address,50.247.240.113,100,232,True,2018-12-04 20:18:45,R_3HS6bAtELjAdFCL,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,I had a difficult time understanding what the journey presentation actually was.  My team thought that it was a presentation that we would be ultimately giving to our teachers at our school - but we learned that it is actually an ongoing document for us and our meetings.,,Completely Satisfied,Completely Satisfied,I liked looking at the student work and discussing with our table.,,Completely Satisfied,I appreciate being given the time with my team to start this big work.  Having the time gave us the opportunity to start to dig deep into this big work.,,Strongly Agree,Making sure that we are staying focused on what we are supposed to do.,,,
2018-12-04 20:15:18,2018-12-04 20:18:47,IP Address,50.247.240.113,100,209,True,2018-12-04 20:18:47,R_2QEAJ0XoAOZSjKx,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Neutral,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,,,Neutral,Neutral,,,Completely Satisfied,,,Strongly Agree,very helpful to action plan today,A,Relentless focus on Evidence- important to stay grounded here,"Why aren't district leaders at this session? It is important to connect with teachers and school based staff. Teachers don't feel connected to Central Office. Thank you to the process observers who provided support.  "
2018-12-04 20:15:10,2018-12-04 20:18:47,IP Address,50.247.240.113,100,217,True,2018-12-04 20:18:48,R_3JbxXWMfYCZa4tb,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,Better understanding of the data overview and focus area,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,"Collaborating about the data and the responses from the students, carousel protocol",,Completely Satisfied,,Too long,Strongly Agree,Relentless focus on evidence,evidence,"intentional collaboration, we need to have more structure and support on how to implement",
2018-12-04 20:14:36,2018-12-04 20:18:49,IP Address,50.247.240.113,100,252,True,2018-12-04 20:18:49,R_2fpx8dOLzgsqxwl,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,"Engaging presenters ",Nothing,Completely Satisfied,Completely Satisfied,"Again, engaging speaker ","Nothing ",Completely Satisfied,"Enjoyed having the team time - helps to bond the team ","Nothing ",Completely Satisfied,Completely Satisfied,See below for delta,The role of the person at our table who was supposed to help turned negative and preachy. Our presenters were not like this and I’m glad there was clarification about that role after,Completely Satisfied,,,Strongly Agree,I fee confident with the other team members so i think we will be good,,,
2018-12-04 20:14:25,2018-12-04 20:18:54,IP Address,50.247.240.113,100,268,True,2018-12-04 20:18:54,R_1gHNQdr3RIbvt78,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,Having a chance to work through the protocals and see them in action.,,Completely Satisfied,Completely Satisfied,Being able to look at actual data to focus our overall learning concern,allowing us to have brought data so we were able to do this with our own information instead of another school's,Moderately Satisfied,Allowed us to communicate and colloborate with the team,be more prepared in telling us we needed data from our schools so we could have been able to have a better focus,Completely Satisfied,Completely Satisfied,loved the examples that were given to show ways to interrupt the data,,Moderately Satisfied,we could collaborate together and come up with ways we will do this at our own schools,,Somewhat Agree,Ways to implement this and able to get the staff engaged and on board.,Intentional collaboration,,
2018-12-04 20:17:06,2018-12-04 20:19:02,IP Address,50.247.240.113,100,115,True,2018-12-04 20:19:02,R_3PHzlx9F5A2mnrJ,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,going through the process,challenging to get through the process as our first time doing this,Neutral,Moderately Dissatisfied,looking at student work,expectations/directions were slightly unclear,Moderately Satisfied,starting to plan how we are going to turn key to our staff,,Somewhat Agree,how teachers are internalizing process,,,
2018-12-04 20:15:35,2018-12-04 20:19:03,IP Address,50.247.240.113,100,207,True,2018-12-04 20:19:03,R_2qgTxONnPfGQMku,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Moderately Satisfied,"The time to work together in the activity and the presentation format, visuals and discussions.",nothing at this time,Completely Satisfied,Moderately Satisfied,The organization of the presentation and the data presentation,n/a,Completely Satisfied,The adjustment based on the feedback from yesterday.,,Completely Satisfied,Moderately Satisfied,,,Completely Satisfied,,,Strongly Agree,,,,
