StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_1,Q5_2,Q6,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15_1,Q15_2,Q16,Q17,Q18_1,Q18_2,Q19,Q20,Q21_1,Q21_3,Q22,Q23,Q24_1,Q24_3,Q25,Q26,Q27,Q28,Q29,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q32,Q33
6/19/18 16:48,6/19/18 16:52,IP Address,67.134.206.34,100,237,TRUE,6/19/18 16:52,R_2xDD7L0BvYkHrVM,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Moderately
Satisfied","Moderately
Satisfied",,,I did not watch the video,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Moderately
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",Developed a clear story through use of data and we did not settle for data that was not enough to convey a meaningful story,,,,,,Not Sure,,,Very Well,Very Well,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Somewhat,,Somewhat,Somewhat,Somewhat agree,Strongly agree
6/19/18 16:48,6/19/18 16:52,IP Address,67.134.206.45,100,264,TRUE,6/19/18 16:52,R_3fy5Hm1w3rptLbn,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Completely
Satisfied","Completely
Satisfied",Appreciated thinking about technical challenges and adaptive challenges,,I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Moderately
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",This work was hard. We need to do more!,,,,,,Not Sure,,,Very Well,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly agree,Strongly agree
6/19/18 16:47,6/19/18 16:52,IP Address,67.134.206.44,100,308,TRUE,6/19/18 16:52,R_aX0zTALVSMWPjoZ,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Completely
Satisfied","Completely
Satisfied",,,I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Not Sure,,A better understanding of presenting our data story to the staff,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly agree,Strongly agree
6/19/18 16:48,6/19/18 16:53,IP Address,67.134.206.38,100,327,TRUE,6/19/18 16:53,R_3MQJswm7Y4DBXxp,,,,,42.38000488,-71.13289642,anonymous,EN,Teaching Fellow,School Team,"Completely
Satisfied","Completely
Satisfied",,,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",Interaction with technology,,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",Getting into action,Pay attention to who's stories were not told using the post its,"Completely
Satisfied","Completely
Satisfied",,,,,,,No,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat agree,Somewhat agree
6/19/18 16:47,6/19/18 16:53,IP Address,67.134.206.36,100,385,TRUE,6/19/18 16:53,R_1inhjEw1Krv1Rpr,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Moderately
Satisfied","Moderately
Satisfied",,,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied","I really enjoyed reviewing the terms (validity, measure of error, etc.) and realizing how deeply we need to backwards plan to ensure students are being assessed accurately in a way that will truly help staff drive instruction.",,"Moderately
Satisfied","Moderately
Satisfied",Reviewing SBAC data to determine what to focus on,,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Somewhat,Very Well,Very Well,Somewhat agree,Somewhat agree
6/19/18 16:51,6/19/18 16:54,IP Address,65.112.10.132,100,179,TRUE,6/19/18 16:54,R_3lPkOcDMHW5uxM5,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Completely
Satisfied","Completely
Satisfied",The review of feedback,Nothing.,I did not watch the video,"Completely
Satisfied","Completely
Satisfied",The scenarios and group session gallery walk,Nothing.,"Completely
Satisfied","Completely
Satisfied",Rolling Agenda,Nothing.,,,,,"Moderately
Satisfied","Moderately
Satisfied",I liked the examples of good visual data displays,The chart making activity was a little basic.,"Completely
Satisfied","Completely
Satisfied",Rolling Agenda and Google Drive Documents,Nothing!,,,,,Not Sure,,,Somewhat,Somewhat,Very Well,Somewhat,Very Well,Very Well,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Strongly agree,Strongly agree
6/19/18 16:47,6/19/18 16:54,IP Address,65.112.8.141,100,399,TRUE,6/19/18 16:54,R_2aQwlhk4z2H8C7O,,,,,42.38000488,-71.13289642,anonymous,EN,Teaching Fellow,System Team,"Completely
Satisfied","Completely
Satisfied",The discussion about technical vs. adaptive change was powerful.,Is there a video about technical vs. adaptive change?,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",The central message was clear - limited data is not useful for too many inferences.,Nothing.,,,,,"Completely
Satisfied","Completely
Satisfied",This is critical. Hearing from someone using the process is valuable.,Would be interesting to hear some results. Where are your successes? What challenges are you currently facing? What would you do differently next time? What have you learned?,"Completely
Satisfied","Completely
Satisfied",Data overview helps shape the story.,Nothing.,,,,,"Completely
Satisfied","Completely
Satisfied",The rolling agenda was tight. Kept us on task.,The sticky notes on the swoosh really provoked good conversation.,Not Sure,,Practical problem solving.,Very Well,Somewhat,Very Well,Somewhat,Somewhat,Somewhat,Very Well,Somewhat,Somewhat,Somewhat,Very Well,Somewhat,Strongly agree,Strongly agree
6/19/18 16:51,6/19/18 16:54,IP Address,67.134.206.37,100,212,TRUE,6/19/18 16:54,R_3hbivt0bxbQq1eI,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Moderately
Satisfied","Moderately
Satisfied",,,I found the video to be somewhat helpful,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,"Moderately
Satisfied","Completely
Dissatisfied",,Equity not at center of presentation -- what about visually impaired learners?,Neutral,Neutral,,,,,,,No,,,Somewhat,Not Very Well,Not Very Well,Not Very Well,Not Very Well,Somewhat,Not Very Well,Not Very Well,Not Very Well,Not Very Well,Not Very Well,Not Very Well,Strongly disagree,Strongly disagree
6/19/18 16:47,6/19/18 16:55,IP Address,67.134.206.38,100,460,TRUE,6/19/18 16:55,R_31aCXWR1qZi6jhT,,,,,42.38000488,-71.13289642,anonymous,EN,Teaching Fellow,School Team,"Completely
Satisfied","Completely
Satisfied",Great slides!,NA - not the session however the hallways seemed to be very cramped for our large group and makes movement before and afterwards difficult.,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",SLIDES! Activities to take back home.,NA,"Completely
Satisfied","Completely
Satisfied",Great group to work with! The team is very engaged!,NA,,,,,"Completely
Satisfied","Completely
Satisfied",Activity - and creating the charts,Time for the school teams to create their data sheets (data sheets that will inform their charts),"Completely
Satisfied","Completely
Satisfied",Great conversation about the data and what data sets to use.,Didn't have a finished product. Time to place the data from the reports on to paper so making a graph would become much easier.,,,,,Not Sure,,Information,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat,Somewhat agree,Somewhat agree
6/19/18 16:50,6/19/18 16:55,IP Address,67.134.206.45,100,284,TRUE,6/19/18 16:55,R_2OOcx1Fl1JIJa2D,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Moderately
Satisfied","Moderately
Satisfied",gallery,instead of doing gallery walk I liked how I only went to my table groups chart instead of everyone's chart.,I did not find the video to be helpful,"Completely
Satisfied","Completely
Satisfied",,nh,"Completely
Satisfied","Completely
Satisfied","this is the best part because it is meaningful. I think you should have these be longer and shorten the other ""purple"" times. Using this and putting what we know into practice is much more interesting and important then listening to someone talk.",nh,,,,,"Completely
Satisfied","Completely
Satisfied",loved!!!! It was great to see difference between story and making a chart relate.,nh,"Completely
Satisfied","Completely
Satisfied",Our conversation was fantastic.,,,,,,No,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat,Somewhat,Somewhat,Somewhat,Very Well,Somewhat,Neutral,Neutral
6/19/18 16:48,6/19/18 16:55,IP Address,67.134.206.39,100,411,TRUE,6/19/18 16:55,R_2rSZAXtXqGaRxiv,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Completely
Satisfied","Completely
Satisfied",understanding the difference between adaptive and technical.,nothing,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied","Good, engaging presenters.",Nothing,"Completely
Satisfied","Completely
Satisfied",Great collaborative effort and a visible increase in energy to task. Excitement over data.,nothing.,,,,,"Moderately
Satisfied","Moderately
Satisfied",Clear message and understanding.,Too much time allotted.,"Completely
Satisfied","Completely
Satisfied",Great collaborative effort and a visible increase in energy to task. Excitement over data.,Nothing,,,,,Not Sure,,Abetter understanding of the practical application of Data Wise in action.,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat,Somewhat,Strongly agree,Strongly agree
6/19/18 16:52,6/19/18 16:55,IP Address,67.134.206.43,100,189,TRUE,6/19/18 16:55,R_2CCEXHK4ra7AVTc,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Completely
Satisfied","Completely
Satisfied",,,I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied",The information about assessment literacy,,"Completely
Satisfied","Completely
Satisfied",Using the rolling agenda to complete tasks,,,,,,"Completely
Satisfied","Completely
Satisfied","The hands on chart creation; The I Notice, I Wonder protocol",,"Completely
Satisfied","Completely
Satisfied",Time to work with team around creating charts of data,,,,,,No,,,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly agree,Strongly agree
6/19/18 16:33,6/19/18 16:56,IP Address,65.112.10.131,100,1331,TRUE,6/19/18 16:56,R_3j2U9jgUFPryiaE,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Completely
Satisfied","Completely
Satisfied","We were able to move around and work with others, which I loved.",N/A,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",I loved working with the groups to work on literacy assessment.,N/A,"Completely
Satisfied","Completely
Satisfied",We were able to move through our data and begin deciding how we want to visually show this information to our staff in the future.,N/A,,,,,"Completely
Satisfied","Completely
Satisfied",Helpful with deciding how to bring in data and how to show it to others.,N/A,"Completely
Satisfied","Completely
Satisfied",We were able to decide on what data that we brought we actually want to us.,N/A,,,,,No,,,Very Well,Very Well,Somewhat,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat,Strongly agree,Strongly agree
6/19/18 16:51,6/19/18 16:56,IP Address,67.134.206.40,100,301,TRUE,6/19/18 16:56,R_AzzouHeXku2FtKN,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Moderately
Satisfied","Moderately
Satisfied",,,I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Not Sure,,,Very Well,Somewhat,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly agree,Strongly agree
