StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,2,3,5,6_1,6_2,7,8,9_1,9_2,10,11,12_1,12_2,13,14,15_1,15_2,16,17,18_1,18_2,19,20,21,22_1,22_2,23,24,25_1,25_2,26,27,28_1,28_2,29,30,31_1,31_2,32,33,Q83,Q82
6/20/18 16:46,6/20/18 16:48,IP Address,67.134.206.35,100,109,TRUE,6/20/18 16:48,R_2bICWWFC5lGzdQl,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,Neutral,Neutral,,Spending too much time on norms,Neutral,Neutral,,spending too much time discussing norms,"Completely
Satisfied","Completely
Satisfied",,,,,,,High School Case,,,,,"Moderately
Dissatisfied","Moderately
Dissatisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Somewhat disagree,Somewhat disagree
6/20/18 16:43,6/20/18 16:48,IP Address,67.134.206.39,100,285,TRUE,6/20/18 16:48,R_31gPWFq9VyN7eGA,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",Going over a structure for listening.,Nothing,"Completely
Satisfied","Completely
Satisfied",Collaborative work,Nothing,"Moderately
Satisfied","Moderately
Satisfied",,Too much time spent on norms.,,,,,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",Necessary to clarify this step and how to structure it.,That time after lunch is hard to stay focused.,"Completely
Satisfied","Completely
Satisfied",We had great discussion.,Nothing,,,,,Neutral,Somewhat agree
6/20/18 16:43,6/20/18 16:48,IP Address,67.134.206.45,100,299,TRUE,6/20/18 16:48,R_3s7AUUQR0qGiV2n,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",It is nice to see the adaptability of the presenters.,None,"Completely
Satisfied","Completely
Satisfied",It was a great model for creating a questions.,N/A,"Completely
Satisfied","Completely
Satisfied",We got so many great things accomplished but knew we had help close by if needed.,The ability to take it outside with the beautiful weather.,,,,,Elementary Case,"Completely
Satisfied","Moderately
Satisfied",Being able to see an actual discussion and work through it was extremely helpful.,The case study went quickly.,,,,,"Completely
Satisfied","Completely
Satisfied",It was great to truly collaborate as a team. We left feeling very motivated for the next step.,N/A,,,,,Strongly agree,Strongly agree
6/20/18 16:42,6/20/18 16:49,IP Address,67.134.206.33,100,369,TRUE,6/20/18 16:49,R_sn96gEevMVg7b8t,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",It was difficult at first to only listen without responding.,Nothing!,"Completely
Satisfied","Completely
Satisfied","Our teaching fellow, Todd, gave great ideas that I took back to my school team and that we plan to implement at our school.",Nothing!,"Completely
Satisfied","Completely
Satisfied",It is helpful to always keep the norms in mind.,Nothing!,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",Coming up with a LBP.,There was a lot of sitting time after lunch.,,,,,"Completely
Satisfied","Completely
Satisfied",Rafael is great at looking at our needs and adjusting to meet them.,Nothing!,,,,,Somewhat agree,Strongly agree
6/20/18 16:41,6/20/18 16:49,IP Address,67.134.206.43,100,440,TRUE,6/20/18 16:49,R_3nc7BzIj1vI76Ij,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Moderately
Satisfied",Completely focused on the person talking and not interrupting with my giving my own feedback.,nothing,"Moderately
Satisfied","Moderately
Satisfied",I would have made sure that there is a state baseline represented to see if students are close to reaching the mark for positive intentions.,nothing,"Moderately
Satisfied","Moderately
Satisfied",We are gaining a better understanding of gathering data.,nothing,,,,,High School Case,,,,,"Moderately
Satisfied","Moderately
Satisfied",Working together and discussing the possibilities of where students may struggle.,Give more time during each session.,"Completely
Satisfied","Completely
Satisfied",Receiving assistance from both Deidre and Erica has been really helpful.,nothing,,,,,Strongly agree,Strongly agree
6/19/18 16:51,6/20/18 16:49,IP Address,67.134.206.44,100,86257,TRUE,6/20/18 16:49,R_2wRoRbx5k6u8cEk,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,Somewhat agree,Somewhat agree
6/20/18 16:42,6/20/18 16:50,IP Address,67.134.206.46,100,438,TRUE,6/20/18 16:50,R_3FJY2eOwOm7yc0c,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Moderately
Satisfied",It set the stage for the day.,,"Completely
Satisfied","Completely
Satisfied",I like the practice with building a question. I also liked the brainstorming and hot dots protocol.,,"Completely
Satisfied","Completely
Satisfied",We had great discussions about how this process is going to roll out at our school next year.,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",We got to practice building a learner centered problem.,,,,,,"Completely
Satisfied","Completely
Satisfied",We finished up our charts and anticipated obstacles for implementation.,,,,,,Strongly agree,Somewhat agree
6/20/18 16:35,6/20/18 16:50,IP Address,67.134.206.33,100,917,TRUE,6/20/18 16:50,R_3NyWZEvVSNyrBlD,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,Please label the chart paper with our team letter so that we don't need to scurry around looking for a place to write.,,,,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,Somewhat agree,Somewhat agree
6/20/18 16:49,6/20/18 16:51,IP Address,67.134.206.46,100,98,TRUE,6/20/18 16:51,R_3HFyWCSYEtf0vv6,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,"Completely
Satisfied","Moderately
Satisfied",,,"Completely
Satisfied","Moderately
Satisfied",,,,,,,High School Case,,,,,"Completely
Satisfied","Moderately
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Somewhat agree,Somewhat agree
6/20/18 16:43,6/20/18 16:51,IP Address,67.134.206.44,100,476,TRUE,6/20/18 16:51,R_1n7oRTB4xVoCSSW,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Moderately
Satisfied",I really appreciated the modeling of how to revisit and utilize the Plus Delta protocol to ensure all voices are heard and represented.,"I was not a big fan of the listening activity with a stranger--I would have felt more comfortable doing this with someone I already knew. It got real deep, real quick. Although I felt uncomfortable during this activity, I do see how it could benefit individuals and groups as a whole.","Completely
Satisfied","Completely
Satisfied",It was helpful to see a data overview meeting in its entirety to envision what it will look like for our school.,"I think the transitions need to be more clear/definitive between activities. It took me a few minutes to realize that we were looking at a sample overview meeting, as opposed to receiving more content about Data Wise.","Completely
Satisfied","Completely
Satisfied",We love having our group time together.,,,,,,High School Case,,,,,"Moderately
Satisfied","Moderately
Satisfied",I liked the practical experience of evaluating student work to develop a learner-centered problem.,I was very bored at the beginning of the session due to just having eaten lunch and hearing all the background information. Maybe mix it up a little bit and provide some backwards tracking.,"Completely
Satisfied","Completely
Satisfied",This discussion brought up some raw and hard to process emotions about our fragile staff. I think it really helped our team of admin and teachers to realize what needs to be addressed within our staff to get everyone on board.,,,,,,Neutral,Somewhat agree
6/20/18 16:49,6/20/18 16:52,IP Address,67.134.206.43,100,188,TRUE,6/20/18 16:52,R_2AHdY3OZWiXLyxf,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied","The engagement and examples and I loved the Dyadic listening activity!
",Nothing- Great session,"Completely
Satisfied","Completely
Satisfied",Broken down very well.,n/a,"Completely
Satisfied","Completely
Satisfied",Everything,Nothing,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",The student work examples,Nothing,,,,,"Completely
Satisfied","Completely
Satisfied",We used the plus and deltas to improve our process,Nothing,,,,,Somewhat agree,Somewhat agree
6/20/18 16:48,6/20/18 16:52,IP Address,67.134.206.6,100,254,TRUE,6/20/18 16:52,R_2sQNVuEt0Hslbhs,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,I feel like I now understand how to run a data overview.,,"Completely
Satisfied","Completely
Satisfied",,,,,,,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",I was really engaged. Time went by smoothly. I didn't feel like I was in a room for an hour and a half.,,"Completely
Satisfied","Completely
Satisfied",We worked well as a team.,,,,,,Somewhat agree,Somewhat agree
6/20/18 16:51,6/20/18 16:52,IP Address,67.134.206.37,100,92,TRUE,6/20/18 16:52,R_1OwCaenYavavkVv,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,High School Case,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,Somewhat disagree,Somewhat disagree
6/20/18 16:48,6/20/18 16:52,IP Address,67.134.206.43,100,245,TRUE,6/20/18 16:52,R_3nBGG7JktFZfBKQ,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Moderately
Satisfied",taking turns,,"Completely
Satisfied","Completely
Satisfied",practice work was beneficial,,"Completely
Satisfied","Completely
Satisfied","our team worked well
significantly better room",more time would be nice,,,,,High School Case,,,,,"Moderately
Satisfied","Moderately
Satisfied",good discussions at our table,more time,"Completely
Satisfied","Completely
Satisfied",good conversation/collaboration,"location
more time",,,,,Strongly agree,Strongly agree
6/20/18 16:50,6/20/18 16:52,IP Address,74.82.60.42,100,164,TRUE,6/20/18 16:52,R_33rS8JBzI5wkATF,,,,,40.75169373,-73.99720001,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,High School Case,,,,,"Moderately
Satisfied","Moderately
Satisfied",,More time to look through the student work,"Completely
Satisfied","Completely
Satisfied",Everything,,,,,,Somewhat agree,Somewhat agree
6/20/18 16:46,6/20/18 16:52,IP Address,67.134.206.34,100,410,TRUE,6/20/18 16:53,R_3PaW2xBEfUp06PL,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,Yes,"Completely
Satisfied",,"Awesome. I was able to work with one of our teaching fellows to craft some charts and use Sheets. I feel that I will be an effective and efficient user of this product, back home. I know that I will be able to share my learning experience with other teachers and administrators. I look forward to being quite productive, as a result of the Data Wise Improvement Process.",Nothing,"Completely
Satisfied","Completely
Satisfied",Listening Dyad will be something that I explore in my personal relationships and student relationships. I think that this is a fair way to make sure everyone that has a comment is heard.,Nothing,"Completely
Satisfied","Completely
Satisfied",Looking at BINcA HS data helped me to understand that the data presented has to be able to tell a coherent story.,Nothing.,"Completely
Satisfied","Completely
Satisfied",Collaborative work on the topics at hand was immensely positive.,Nothing.,,,,,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",Good to look at Kingsway Regional HS data on ELA facts.,Nothing.,"Completely
Satisfied","Completely
Satisfied",Frank discussion about sensitive topics is always a way to build trust within a team.,Nothing.,,,,,Strongly agree,Strongly agree
6/20/18 16:50,6/20/18 16:53,IP Address,67.134.206.43,100,164,TRUE,6/20/18 16:53,R_22z6Ol5lAIgWtju,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,Yes,Neutral,Neutral,,,"Moderately
Dissatisfied","Moderately
Dissatisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Somewhat agree,Somewhat agree
6/20/18 16:49,6/20/18 16:53,IP Address,67.134.206.37,100,215,TRUE,6/20/18 16:53,R_4Vmt9q74wGvjIn7,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Moderately
Satisfied",,"The tables in the back of the room were super cramped. I found myself having to adjust my seat several times to let people pass through

Spend less time discussing norms","Completely
Satisfied","Completely
Satisfied",I LOVED the sticker protocol,,"Completely
Satisfied","Completely
Satisfied",We worked collaboratively,Less time discussed about norms,,,,,High School Case,,,,,"Moderately
Satisfied","Moderately
Dissatisfied",It was a great approach on how to create a learner centered problem.,"1.) The data was not triangulated
2.) By reading only one essay you are only reviewing 25% of the student data
3.) Non-ELA people checked out of the conversation--it should have been framed that everyone can and should participate in the discussion.","Completely
Satisfied","Completely
Satisfied",Time to go back and finish the discussion about the charts,The actions to support Data Overview seemed overwhelming,,,,,Somewhat disagree,Somewhat disagree
6/20/18 16:48,6/20/18 16:53,IP Address,67.134.206.35,100,289,TRUE,6/20/18 16:53,R_2ZDjZqWgyVo7Fpi,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied","Loved, loved, LOVED the opportunity to hear from practitioners who have integrated DW within their school! While the session moved very quickly, I appreciated Robert and Stephanie's carful facilitation - highly structured protocols, gentle reminders of time, and adjustments in the moment to honor end time.","I would have appreciated more time to pose questions and talk with them. Could we have a ""brown bag"" lunch session with them?","Completely
Satisfied","Completely
Satisfied",,,,,,,Strongly agree,Strongly agree
6/20/18 16:51,6/20/18 16:53,IP Address,67.134.206.38,100,132,TRUE,6/20/18 16:53,R_1jeNX99C1vEH9Tb,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Strongly agree,Strongly agree
6/20/18 16:47,6/20/18 16:53,IP Address,67.134.206.42,100,357,TRUE,6/20/18 16:53,R_2dSe46GakAQBp3O,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",The Dyad Protocol was very helpful.,,"Completely
Satisfied","Completely
Satisfied",Giving a better understanding of a priority question.,,"Completely
Satisfied","Completely
Satisfied",We worked through an agenda,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",Learning about a learner-centered question,,,,,,"Completely
Satisfied","Completely
Satisfied",Working together to come up with things we need to put in place for the upcoming year.,,,,,,Strongly agree,Strongly agree
