StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q3_2,Q4,Q5,Q6_1,Q6_2,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15_1,Q16,Q17,Q19,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q34,Q35
2019-12-19 20:02:01,2019-12-19 20:04:41,IP Address,173.188.156.102,100,159,True,2019-12-19 20:04:41,R_2Blc8BpMoGiCwgu,,,,,40.009002685546875,-76.36309814453125,anonymous,EN,Neutral,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,We actually completed goal revisions and data charts,,Neutral,Moderately Satisfied,,,Neutral,Moderately Satisfied,,,Moderately Satisfied,,most of team left by then,Somewhat Disagree,Somewhat Agree,priority questions,C,,,Neither Good Nor Bad,A Little Bit,A Little Bit,Neutral,
2019-12-19 20:06:02,2019-12-19 20:07:12,IP Address,206.82.23.190,100,70,True,2019-12-19 20:07:12,R_1g8bglvIqWx1vjH,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Somewhat Agree,Strongly Agree,,shared commitment to action,not sure,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:07:52,2019-12-19 20:09:37,IP Address,173.188.156.102,100,105,True,2019-12-19 20:09:38,R_12F6Ctz35LB7K4z,,,,,40.009002685546875,-76.36309814453125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,"Collaboration ",Nothing,Moderately Satisfied,Moderately Satisfied,Partner time,,,,,Somewhat Agree,Strongly Agree,,,,,Very Good,Quite A Bit,Quite A Bit,Moderately Satisfied,
2019-12-19 20:07:02,2019-12-19 20:10:07,IP Address,173.188.156.102,100,185,True,2019-12-19 20:10:08,R_1k1Uq6GcZojIN5Z,,,,,40.009002685546875,-76.36309814453125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,,,,Very Good,A Great Deal,Quite A Bit,Completely Satisfied,
2019-12-19 20:02:30,2019-12-19 20:10:08,IP Address,206.82.23.190,100,458,True,2019-12-19 20:10:09,R_10NoiaO3Vc8pMPR,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,"Loved the time to collaborate uninterrupted ",,Strongly Agree,Somewhat Agree,NA,C,A,Great experience,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:05:24,2019-12-19 20:10:23,IP Address,206.82.23.190,100,299,True,2019-12-19 20:10:24,R_1K9XQ8o7y4xK7YN,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,"It is always valuable to have time to meet with our core team. ",,Completely Satisfied,Completely Satisfied,It was interesting so to see how a large majority of groups created a very similar priority statement.,,Completely Satisfied,Completely Satisfied,"I like the soul mate partner activity to partner up. ",,Completely Satisfied,"We made a good plan for what we will do when we return in the new year to share this information with our teachers. ",,Strongly Agree,Strongly Agree,,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:09:21,2019-12-19 20:10:35,IP Address,74.217.93.204,100,73,True,2019-12-19 20:10:35,R_3h5eoZKDCEsye8B,,,,,39.048095703125,-77.47280120849609375,anonymous,EN,Completely Satisfied,Completely Satisfied,"Mix of information-providing, collaborative time, modeling",,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:08:23,2019-12-19 20:11:26,IP Address,206.82.23.190,100,183,True,2019-12-19 20:11:27,R_3NCyiUi3RBO3AfL,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,"The agenda and roles kept us moving. ",,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,"Working through the details of the plan.  ",,,,Excellent,A Great Deal,,Completely Satisfied,
2019-12-19 17:39:31,2019-12-19 20:13:53,IP Address,172.58.204.20,100,9262,True,2019-12-19 20:13:53,R_SUiuR1XYd7WTsrv,,,,,39.9933929443359375,-75.1425018310546875,anonymous,EN,Neutral,Neutral,,,Completely Satisfied,Completely Satisfied,,,Moderately Dissatisfied,Moderately Dissatisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:10:28,2019-12-19 20:16:35,IP Address,206.82.23.190,100,367,True,2019-12-19 20:16:35,R_3HYOGtX6gNTjNZe,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,The information was loaded but presented well. So many great ideas!,Have more of our school improvement team here,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,Having better data (school wide vs just our own current students),Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Lots of support from our some of our upper district personnel even though our building team couldn’t be here.,,Strongly Agree,Somewhat Agree,Connecting the dots of all the missing stakeholders and streamlining the flow of information,Shared commitment to action,"Relentless focus on the evidence and intentional collaboration ",,Excellent,A Great Deal,Quite A Bit,Completely Satisfied,
2019-12-19 19:57:36,2019-12-19 20:20:51,IP Address,206.82.23.190,100,1395,True,2019-12-19 20:20:52,R_1o5ZXOU2PtJQpmC,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Neutral,Neutral,,,Moderately Satisfied,Neutral,team time is needed for our school (even though not all team members were present),Would have been nice to be alerted ahead of time that bringing data was needed for today. Not all members of our team have same access to data,Neutral,Neutral,clear and organized,Difficult to understand speaker (volume and diction),Moderately Dissatisfied,Neutral,Ideal in theory,Accommodate for lack of subs/classroom coverage for the process of observation/planning/meeting to succeed,Moderately Satisfied,"Came up with ""next steps"" when returning from winter break",more than the 30-45 minute allotment,Neutral,Strongly Disagree,still unclear on the plan and final goals. Other than test scores need to go up.,none,"all - our team is incomplete and having to ""start over"" in a lot of ways",,Neither Good Nor Bad,A Little Bit,Not At All,Neutral,
2019-12-19 20:19:53,2019-12-19 20:24:52,IP Address,206.82.23.190,100,298,True,2019-12-19 20:24:52,R_2s1tdctgmSoSVqZ,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,Presenter is genuine and brings real life examples regarding the Data Wise Proccess to life!,,Completely Satisfied,Completely Satisfied,Extemely engaging and hands on tasks.,Nothing,Completely Satisfied,Completely Satisfied,Explicit explanations.  Very personable and engaging presenter!,,Completely Satisfied,Completely Satisfied,Cooperative tasks and guidance throughout tasks! Excellent presentation!,,,,,Strongly Agree,Strongly Agree,One of the best presentations I have ever attended!,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2019-12-19 20:25:01,2019-12-19 20:35:26,IP Address,206.82.23.190,100,625,True,2019-12-19 20:35:26,R_rkCK1ywN3p2orD3,,,,,40.2039031982421875,-76.72859954833984375,anonymous,EN,Completely Satisfied,Completely Satisfied,Movement.,,Completely Satisfied,Completely Satisfied,Opportunities for real-life examples.,,Completely Satisfied,Completely Satisfied,Being able to review data with purpose and the lens of creating priorities.,,Completely Satisfied,Completely Satisfied,Becoming more comfortable with the prospect of examining instruction and hopefully removing the threat-perception surrounding observations.,,Completely Satisfied,"Access to team members, having the chance to do work along side experts.",,Strongly Agree,Strongly Agree,"I still need help determining the ","Relentless focus on evidence- I feel like this ACE habit gives life and purpose to the work. We can see where there are needs and we have resources to suggest practices to address those needs. By making the evidence visual and present and part of the daily conversation, it can drive the every day decisions, behaviors and ultimately the outcomes.",Intentional Collaboration. Its so hard.,This has been incredibly useful. The process is more clear and I have a better understanding of how to prepare and use the data.,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
